Time,kW Total,kVAr R,kVA R,Volts R,Amps R
29-04-18 / 17:00,0.2,0.14,0.24,244.17,1.03
29-04-18 / 18:00,0.04,0.11,0.12,244.66,0.51
29-04-18 / 19:00,0.0,0.06,0.06,243.99,0.24
29-04-18 / 20:00,0.0,0.05,0.05,243.17,0.24
29-04-18 / 21:00,0.0,0.06,0.06,243.83,0.24
29-04-18 / 22:00,0.0,0.05,0.05,241.73,0.24
29-04-18 / 23:00,0.0,0.06,0.06,245.07,0.24
30-04-18 / 00:00,0.0,0.05,0.05,244.84,0.24
30-04-18 / 01:00,0.0,0.05,0.05,246.59,0.24
30-04-18 / 02:00,0.0,0.06,0.06,244.17,0.24
30-04-18 / 03:00,0.0,0.06,0.06,244.97,0.24
30-04-18 / 04:00,0.0,0.06,0.06,244.67,0.24
30-04-18 / 05:00,0.0,0.06,0.06,243.76,0.24
30-04-18 / 06:00,0.0,0.06,0.06,244.06,0.24
30-04-18 / 07:00,0.0,0.06,0.06,245.37,0.24
30-04-18 / 08:00,0.0,0.06,0.06,245.98,0.24
30-04-18 / 09:00,0.01,0.07,0.07,244.61,0.24
30-04-18 / 10:00,0.0,0.06,0.06,242.34,0.24
30-04-18 / 11:00,0.0,0.06,0.06,243.36,0.24
30-04-18 / 12:00,0.0,0.06,0.06,243.63,0.24
30-04-18 / 13:00,0.0,0.06,0.06,246.33,0.24
30-04-18 / 14:00,0.0,0.06,0.06,245.35,0.24
30-04-18 / 15:00,0.0,0.06,0.06,245.0,0.24
30-04-18 / 16:00,0.0,0.06,0.06,244.64,0.24
30-04-18 / 17:00,0.0,0.06,0.06,244.42,0.24
30-04-18 / 18:00,0.0,0.06,0.06,242.49,0.24
30-04-18 / 19:00,0.0,0.06,0.06,243.57,0.24
30-04-18 / 20:00,0.0,0.05,0.05,245.17,0.24
30-04-18 / 21:00,0.0,0.05,0.05,244.12,0.24
30-04-18 / 22:00,0.0,0.06,0.06,242.74,0.24
30-04-18 / 23:00,0.0,0.06,0.06,244.74,0.24
,,,,,
 kWh Received/EB for the Day = 38.59,,,,,
